# Energia (eV)   E^2 * fluence (eV)
9.30572e+05   3.12764e+49
1.07461e+06   4.19115e+49
1.24094e+06   5.59642e+49
1.43301e+06   7.47553e+49
1.65482e+06   9.99058e+49
1.91095e+06   1.33628e+50
2.20673e+06   1.78892e+50
2.54830e+06   2.39778e+50
2.94273e+06   3.21883e+50
3.39821e+06   4.33208e+50
3.92419e+06   5.84566e+50
4.53158e+06   7.91352e+50
5.23299e+06   1.07521e+51
6.04296e+06   1.46906e+51
6.97831e+06   2.01444e+51
8.05842e+06   2.77358e+51
9.30572e+06   3.83051e+51
1.07461e+07   5.31880e+51
1.24094e+07   7.36880e+51
1.43301e+07   1.01860e+52
1.65482e+07   1.40286e+52
1.91095e+07   1.92192e+52
2.20673e+07   2.62180e+52
2.54830e+07   3.55135e+52
2.94273e+07   4.73671e+52
3.39821e+07   6.20369e+52
3.92419e+07   7.96612e+52
4.53158e+07   1.00778e+53
5.23299e+07   1.26008e+53
6.04296e+07   1.54271e+53
6.97831e+07   1.84335e+53
8.05842e+07   2.13715e+53
9.30572e+07   2.38918e+53
1.07461e+08   2.56283e+53
1.24094e+08   2.70515e+53
1.43301e+08   2.80478e+53
1.65482e+08   2.86185e+53
1.91095e+08   2.84531e+53
2.20673e+08   2.84369e+53
2.54830e+08   2.81009e+53
2.94273e+08   2.74622e+53
3.39821e+08   2.63620e+53
3.92419e+08   2.57191e+53
4.53158e+08   2.49767e+53
5.23299e+08   2.41549e+53
6.04296e+08   2.31138e+53
6.97831e+08   2.25741e+53
8.05842e+08   2.20102e+53
9.30572e+08   2.14091e+53
1.07461e+09   2.05299e+53
1.24094e+09   2.01428e+53
1.43301e+09   1.97099e+53
1.65482e+09   1.92285e+53
1.91095e+09   1.84514e+53
2.20673e+09   1.81430e+53
2.54830e+09   1.77904e+53
2.94273e+09   1.73889e+53
3.39821e+09   1.67179e+53
3.92419e+09   1.64503e+53
4.53158e+09   1.61293e+53
5.23299e+09   1.57503e+53
6.04296e+09   1.51404e+53
6.97831e+09   1.48820e+53
8.05842e+09   1.45879e+53
9.30572e+09   1.42598e+53
1.07461e+10   1.37509e+53
1.24094e+10   1.35612e+53
1.43301e+10   1.33407e+53
1.65482e+10   1.30837e+53
1.91095e+10   1.26181e+53
2.20673e+10   1.24522e+53
2.54830e+10   1.22479e+53
2.94273e+10   1.20050e+53
3.39821e+10   1.15530e+53
3.92419e+10   1.14020e+53
4.53158e+10   1.12250e+53
5.23299e+10   1.10197e+53
6.04296e+10   1.06199e+53
6.97831e+10   1.05062e+53
8.05842e+10   1.03690e+53
9.30572e+10   1.02039e+53
1.07461e+11   9.84774e+52
1.24094e+11   9.75393e+52
1.43301e+11   9.63346e+52
1.65482e+11   9.48253e+52
1.91095e+11   9.14644e+52
2.20673e+11   9.05493e+52
2.54830e+11   8.93714e+52
2.94273e+11   8.78986e+52
3.39821e+11   8.46820e+52
3.92419e+11   8.37491e+52
4.53158e+11   8.25618e+52
5.23299e+11   8.10931e+52
6.04296e+11   7.79859e+52
6.97831e+11   7.70023e+52
8.05842e+11   7.57732e+52
9.30572e+11   7.42734e+52
1.07461e+12   7.12399e+52
1.24094e+12   7.01722e+52
1.43301e+12   6.88677e+52
1.65482e+12   6.73041e+52
1.91095e+12   6.43105e+52
