# Energy	Flux_temporale
3.580557616097204000e+16 -8.306069342487861250e+14
3.599206353504053600e+16 -8.367953783577800000e+14
3.617855090910903200e+16 -8.320152682621706250e+14
3.636503828317752800e+16 -8.171952837410606250e+14
3.655152565724602400e+16 -7.932641045735536250e+14
3.673801303131451200e+16 -7.611504105387536250e+14
3.692450040538300800e+16 -7.217828814157607500e+14
3.711098777945150400e+16 -6.760901969836795000e+14
3.729747515352000000e+16 -6.250010370216125000e+14
3.748396252758849600e+16 -5.694440813086630000e+14
3.767044990165699200e+16 -5.103480096239337500e+14
3.785693727572548800e+16 -4.486415017465278125e+14
3.804342464979397600e+16 -3.852532374555510625e+14
3.822991202386247200e+16 -3.211118965301008750e+14
3.841639939793096800e+16 -2.571461587492828125e+14
3.860288677199946400e+16 -1.942847038922000312e+14
3.878937414606796000e+16 -1.334562117379550312e+14
3.897586152013645600e+16 -7.558936206565151562e+13
3.916234889420495200e+16 -2.161283465439196875e+13
3.934883626827344800e+16 2.758015718903584375e+13
3.953532364234194400e+16 7.168723770947181250e+13
3.972181101641043200e+16 1.108937324643813281e+14
3.990829839047892800e+16 1.453995679769905938e+14
4.009478576454742400e+16 1.754046707705201250e+14
4.028127313861592000e+16 2.011089673681928750e+14
4.046776051268441600e+16 2.227123842932310312e+14
4.065424788675291200e+16 2.404148480688573438e+14
4.084073526082140800e+16 2.544162852182944688e+14
4.102722263488989600e+16 2.649166222647646562e+14
4.121371000895839200e+16 2.721157857314910000e+14
4.140019738302688800e+16 2.762137021416958438e+14
4.158668475709538400e+16 2.774102980186019062e+14
4.177317213116388000e+16 2.759054998854314688e+14
4.195965950523237600e+16 2.718992342654073438e+14
4.214614687930087200e+16 2.655914276817520312e+14
4.233263425336936800e+16 2.571820066576879375e+14
4.251912162743786400e+16 2.468708977164379375e+14
4.270560900150635200e+16 2.348580273812249062e+14
4.289209637557484800e+16 2.213433221752705000e+14
4.307858374964334400e+16 2.065267086217978438e+14
4.326507112371184000e+16 1.906081132440293438e+14
4.345155849778033600e+16 1.737874625651877500e+14
4.363804587184883200e+16 1.562646831084956250e+14
4.382453324591732800e+16 1.382397013971754844e+14
4.401102061998581600e+16 1.199124439544507344e+14
4.419750799405431200e+16 1.014828373035422812e+14
4.438399536812280800e+16 8.315080796767359375e+13
4.457048274219130400e+16 6.511628247006721094e+13
4.475697011625980000e+16 4.757918733394569531e+13
4.494345749032829600e+16 3.073944908253169922e+13
4.512994486439679200e+16 1.479699423904774805e+13
4.531643223846528800e+16 -4.825067486151379395e+10
4.550291961253378400e+16 -1.363726604000222461e+13
4.568940698660227200e+16 -2.597300409034089453e+13
4.587589436067076800e+16 -3.709850026412437500e+13
4.606238173473926400e+16 -4.705678999959807031e+13
4.624886910880776000e+16 -5.589090873500777344e+13
4.643535648287625600e+16 -6.364389190859933594e+13
4.662184385694475200e+16 -7.035877495861857812e+13
4.680833123101324800e+16 -7.607859332331139062e+13
4.699481860508173600e+16 -8.084638244092342188e+13
4.718130597915023200e+16 -8.470517774970098438e+13
4.736779335321872800e+16 -8.769801468788957812e+13
4.755428072728722400e+16 -8.986792869373514062e+13
4.774076810135572000e+16 -9.125795520548356250e+13
4.792725547542421600e+16 -9.191112966138054688e+13
4.811374284949271200e+16 -9.187048749967209375e+13
4.830023022356120800e+16 -9.117906415860403125e+13
4.848671759762970400e+16 -8.987989507642212500e+13
4.867320497169819200e+16 -8.801601569137234375e+13
4.885969234576668800e+16 -8.563046144170045312e+13
4.904617971983518400e+16 -8.276626776565232812e+13
4.923266709390368000e+16 -7.946647010147376562e+13
4.941915446797217600e+16 -7.577410388741065625e+13
4.960564184204067200e+16 -7.173220456170884375e+13
4.979212921610916800e+16 -6.738380756261419531e+13
4.997861659017765600e+16 -6.277194832837274219e+13
5.016510396424615200e+16 -5.793966229722996094e+13
5.035159133831464800e+16 -5.292998490743189062e+13
5.053807871238314400e+16 -4.778595159722434375e+13
5.072456608645164000e+16 -4.255059780485321094e+13
5.091105346052013600e+16 -3.726695896856432812e+13
5.109754083458863200e+16 -3.197807052660353125e+13
5.128402820865712800e+16 -2.672696791721668359e+13
5.147051558272562400e+16 -2.155668657864965234e+13
5.165700295679411200e+16 -1.651026194914849219e+13
5.184349033086260800e+16 -1.163072946695858398e+13
5.202997770493110400e+16 -6.961124570326032227e+12
5.221646507899960000e+16 -2.544482697496679199e+12
5.240295245306809600e+16 1.576684552897536865e+12
5.258943982713659200e+16 5.381261464693351562e+12
5.277592720120508800e+16 8.876538314052671875e+12
5.296241457527357600e+16 1.207176663295386719e+13
5.314890194934207200e+16 1.497619795337577539e+13
5.333538932341056800e+16 1.759908380729685547e+13
5.352187669747906400e+16 1.994967572669562500e+13
5.370836407154756000e+16 2.203722524355067969e+13
5.389485144561605600e+16 2.387098388984054297e+13
5.408133881968455200e+16 2.546020319754380469e+13
5.426782619375304800e+16 2.681413469863901562e+13
5.445431356782154400e+16 2.794202992510473828e+13
5.464080094189003200e+16 2.885314040891950391e+13
5.482728831595852800e+16 2.955671768206192969e+13
5.501377569002702400e+16 3.006201327651057031e+13
5.520026306409552000e+16 3.037827872424394531e+13
5.538675043816401600e+16 3.051476555724065234e+13
5.557323781223251200e+16 3.048072530747922656e+13
5.575972518630100800e+16 3.028540950693823828e+13
5.594621256036949600e+16 2.993806968759627344e+13
5.613269993443799200e+16 2.944795738143184375e+13
5.631918730850648800e+16 2.882432412042350781e+13
5.650567468257498400e+16 2.807642143654989453e+13
5.669216205664348000e+16 2.721350086178950000e+13
5.687864943071197600e+16 2.624481392812091016e+13
5.706513680478047200e+16 2.517961216752268359e+13
5.725162417884896800e+16 2.402714711197337109e+13
5.743811155291746400e+16 2.279667029345155078e+13
5.762459892698595200e+16 2.149743324393582422e+13
5.781108630105444800e+16 2.013868749540465625e+13
5.799757367512294400e+16 1.872968457983664453e+13
5.818406104919144000e+16 1.727967602921036328e+13
5.837054842325993600e+16 1.579791337550436914e+13
5.855703579732843200e+16 1.429364815069722852e+13
5.874352317139692800e+16 1.277613188676748828e+13
5.893001054546541600e+16 1.125461611569378906e+13
5.911649791953391200e+16 9.738352369454542969e+12
5.930298529360240800e+16 8.236592180028397461e+12
5.948947266767090400e+16 6.758587079393897461e+12
5.967596004173940000e+16 5.313588599529606445e+12
5.986244741580789600e+16 3.910848272414097168e+12
6.004893478987639200e+16 2.559617630025918457e+12
6.023542216394488800e+16 1.269148204343629150e+12
6.042190953801338400e+16 4.869152734580503845e+10
6.060839691208187200e+16 -1.094146459670360718e+12
6.079488428615036800e+16 -2.159209942880082520e+12
6.098137166021886400e+16 -3.148450439742946289e+12
6.116785903428736000e+16 -4.063819598666602051e+12
6.135434640835585600e+16 -4.907269068058736328e+12
6.154083378242435200e+16 -5.680750496327026367e+12
6.172732115649284800e+16 -6.386215531879139648e+12
6.191380853056133600e+16 -7.025615823122726562e+12
6.210029590462983200e+16 -7.600903018465517578e+12
6.228678327869832800e+16 -8.114028766315157227e+12
6.247327065276682400e+16 -8.566944715079319336e+12
6.265975802683532000e+16 -8.961602513165681641e+12
6.284624540090381600e+16 -9.299953808981910156e+12
6.303273277497231200e+16 -9.583950250935685547e+12
6.321922014904080800e+16 -9.815543487434683594e+12
6.340570752310930400e+16 -9.996685166886572266e+12
6.359219489717779200e+16 -1.012932693769902539e+13
6.377868227124628800e+16 -1.021542044827972656e+13
6.396516964531478400e+16 -1.025691734703634180e+13
6.415165701938328000e+16 -1.025576928237655469e+13
6.433814439345177600e+16 -1.021392790270802734e+13
6.452463176752027200e+16 -1.013334485643844141e+13
6.471111914158876800e+16 -1.001597179197547266e+13
6.489760651565725600e+16 -9.863760357726798828e+12
6.508409388972575200e+16 -9.678662202100070312e+12
6.527058126379424800e+16 -9.462628973502986328e+12
6.545706863786274400e+16 -9.217612320343212891e+12
6.564355601193124000e+16 -8.945563891028427734e+12
6.583004338599973600e+16 -8.648435333966295898e+12
6.601653076006823200e+16 -8.328178297564497070e+12
6.620301813413672800e+16 -7.986744430230711914e+12
6.638950550820522400e+16 -7.626085380372602539e+12
6.657599288227371200e+16 -7.248152796397869141e+12
6.676248025634220800e+16 -6.854898326714148438e+12
6.694896763041070400e+16 -6.448273619729132812e+12
6.713545500447920000e+16 -6.030230323850496094e+12
6.732194237854769600e+16 -5.602720087485909180e+12
6.750842975261619200e+16 -5.167694559043054688e+12
6.769491712668468800e+16 -4.727105386929598633e+12
6.788140450075317600e+16 -4.282904219553234863e+12
6.806789187482167200e+16 -3.837042705321608398e+12
6.825437924889016800e+16 -3.391472492642405273e+12
6.844086662295866400e+16 -2.948145229923294922e+12
6.862735399702716000e+16 -2.509012565571961426e+12
6.881384137109565600e+16 -2.076026147996070557e+12
6.900032874516415200e+16 -1.651137625603303223e+12
6.918681611923264800e+16 -1.236298646801333252e+12
6.937330349330114400e+16 -8.334608599978298340e+11
6.955979086736963200e+16 -4.445759136004912109e+11
6.974627824143812800e+16 -7.159545601694743347e+10
6.993276561550662400e+16 2.837228055610529785e+11
7.011925298957512000e+16 6.210428285245643311e+11
7.030574036364361600e+16 9.406612217857673340e+11
