# Observed by B. Schmidt
# Reduced by K. Auchettl
# On 31/10/2024, 23:47:56
# Using DEbass pipeline: v01
# Using metadata: m01
#
# Wavelength Flux Error
3729.36	7.8243e+00	2.3989e+00
3730.13	7.9900e+00	2.3963e+00
3730.91	1.4126e+01	2.3011e+00
3731.68	1.1232e+01	2.3347e+00
3732.46	9.8222e+00	2.3073e+00
3733.23	7.1801e+00	2.2943e+00
3734.01	1.0818e+01	2.2777e+00
3734.78	1.3493e+01	2.2687e+00
3735.56	1.0933e+01	2.2678e+00
3736.33	3.5594e+00	2.2719e+00
3737.10	8.2244e+00	2.2343e+00
3737.88	1.2833e+01	2.2269e+00
3738.65	1.4243e+01	2.1990e+00
3739.43	1.3222e+01	2.1792e+00
3740.20	9.6810e+00	2.1627e+00
3740.98	1.5398e+01	2.1792e+00
3741.75	1.2949e+01	2.1562e+00
3742.53	1.2588e+01	2.1559e+00
3743.30	1.4023e+01	2.1502e+00
3744.08	8.6004e+00	2.1520e+00
3744.85	7.8785e+00	2.1435e+00
3745.63	1.3070e+01	2.1404e+00
3746.40	1.3139e+01	2.1158e+00
3747.18	1.2300e+01	2.1187e+00
3747.95	6.3335e+00	2.1316e+00
3748.73	7.6167e+00	2.1247e+00
3749.50	1.4111e+01	2.0933e+00
3750.28	1.2325e+01	2.0660e+00
3751.05	1.3363e+01	2.0374e+00
3751.83	1.5845e+01	2.0595e+00
3752.60	1.4737e+01	2.0692e+00
3753.38	1.0294e+01	2.0606e+00
3754.15	1.7447e+01	2.0623e+00
3754.93	7.6984e+00	2.0499e+00
3755.70	1.1431e+01	2.0524e+00
3756.48	1.2369e+01	2.0446e+00
3757.25	1.1637e+01	2.0143e+00
3758.03	1.0586e+01	2.0053e+00
3758.80	9.2277e+00	2.0094e+00
3759.58	8.5497e+00	2.0050e+00
3760.35	1.3108e+01	2.0015e+00
3761.13	1.1372e+01	1.9939e+00
3761.90	1.1443e+01	1.9913e+00
3762.67	1.0910e+01	1.9771e+00
3763.45	7.5884e+00	1.9582e+00
3764.22	1.1155e+01	1.9546e+00
3765.00	1.3568e+01	1.9495e+00
3765.77	1.1275e+01	1.9458e+00
3766.55	1.3088e+01	1.9443e+00
3767.32	1.2570e+01	1.9302e+00
3768.10	1.7468e+01	1.9368e+00
3768.87	1.5814e+01	1.9427e+00
3769.65	1.3836e+01	1.9364e+00
3770.42	1.1088e+01	1.9332e+00
3771.20	1.5599e+01	1.9367e+00
3771.97	1.3680e+01	1.9245e+00
3772.75	1.1648e+01	1.9084e+00
3773.52	7.8695e+00	1.8976e+00
3774.30	1.1976e+01	1.8976e+00
3775.07	8.8823e+00	1.8978e+00
3775.85	1.4480e+01	1.8898e+00
3776.62	9.4474e+00	1.8714e+00
3777.40	8.8916e+00	1.8657e+00
3778.17	1.0527e+01	1.8729e+00
3778.95	1.1886e+01	1.8655e+00
3779.72	1.5712e+01	1.8601e+00
3780.50	1.4788e+01	1.8529e+00
3781.27	1.0912e+01	1.8418e+00
3782.05	1.0128e+01	1.8285e+00
3782.82	1.2412e+01	1.8254e+00
3783.60	5.1812e+00	1.8189e+00
3784.37	9.4876e+00	1.8051e+00
3785.15	9.1323e+00	1.8096e+00
3785.92	9.7558e+00	1.8061e+00
3786.70	8.8051e+00	1.7872e+00
3787.47	1.0927e+01	1.7793e+00
3788.24	1.0009e+01	1.7815e+00
3789.02	1.0522e+01	1.7743e+00
3789.79	1.3322e+01	1.7637e+00
3790.57	1.5264e+01	1.7546e+00
3791.34	1.2122e+01	1.7461e+00
3792.12	1.4176e+01	1.7496e+00
3792.89	1.2058e+01	1.7281e+00
3793.67	1.2551e+01	1.7097e+00
3794.44	1.1265e+01	1.7032e+00
3795.22	1.3581e+01	1.6991e+00
3795.99	1.2803e+01	1.6925e+00
3796.77	1.2739e+01	1.6976e+00
3797.54	1.6272e+01	1.7151e+00
3798.32	2.8110e+01	1.7261e+00
3799.09	3.4476e+01	1.7264e+00
3799.87	2.8631e+01	1.7139e+00
3800.64	2.8462e+01	1.7135e+00
3801.42	3.9836e+01	1.7198e+00
3802.19	4.4648e+01	1.7236e+00
3802.97	2.5281e+01	1.6768e+00
3803.74	1.3205e+01	1.6496e+00
3804.52	1.4390e+01	1.6552e+00
3805.29	1.1995e+01	1.6469e+00
3806.07	1.1291e+01	1.6331e+00
3806.84	1.2139e+01	1.6376e+00
3807.62	9.1385e+00	1.6299e+00
3808.39	7.1646e+00	1.6262e+00
3809.17	4.7914e+00	1.6247e+00
3809.94	8.3822e+00	1.6795e+00
3810.72	1.2365e+01	1.7056e+00
3811.49	1.1290e+01	1.7127e+00
3812.27	1.2499e+01	1.6944e+00
3813.04	8.9860e+00	1.6319e+00
3813.82	7.1280e+00	1.6191e+00
3814.59	1.0262e+01	1.6181e+00
3815.36	6.7054e+00	1.6037e+00
3816.14	1.3148e+01	1.5834e+00
3816.91	1.3965e+01	1.5877e+00
3817.69	1.3358e+01	1.5791e+00
3818.46	8.9459e+00	1.5712e+00
3819.24	1.0120e+01	1.5601e+00
3820.01	8.6584e+00	1.5495e+00
3820.79	8.8867e+00	1.5597e+00
3821.56	1.1466e+01	1.5680e+00
3822.34	9.2795e+00	1.5476e+00
3823.11	1.1259e+01	1.5355e+00
3823.89	8.5589e+00	1.5155e+00
3824.66	9.1710e+00	1.5197e+00
3825.44	1.0842e+01	1.5298e+00
3826.21	9.9227e+00	1.5325e+00
3826.99	1.2713e+01	1.5252e+00
3827.76	1.1060e+01	1.5227e+00
3828.54	1.1454e+01	1.5280e+00
3829.31	9.5629e+00	1.5164e+00
3830.09	9.7568e+00	1.5136e+00
3830.86	1.0289e+01	1.4993e+00
3831.64	1.3288e+01	1.4909e+00
3832.41	1.0762e+01	1.4817e+00
3833.19	1.1110e+01	1.4763e+00
3833.96	1.3603e+01	1.4793e+00
3834.74	8.9543e+00	1.4873e+00
3835.51	1.0921e+01	1.4885e+00
3836.29	1.0137e+01	1.4738e+00
3837.06	9.4010e+00	1.4918e+00
3837.84	1.2450e+01	1.5154e+00
3838.61	1.0635e+01	1.5151e+00
3839.39	1.0592e+01	1.4974e+00
3840.16	1.0348e+01	1.4643e+00
3840.93	1.0524e+01	1.4507e+00
3841.71	9.6300e+00	1.4632e+00
3842.48	1.1394e+01	1.4516e+00
3843.26	6.0633e+00	1.4455e+00
3844.03	6.6742e+00	1.4321e+00
3844.81	1.0575e+01	1.4442e+00
3845.58	5.4441e+00	1.4462e+00
3846.36	5.4047e+00	1.4465e+00
3847.13	7.1228e+00	1.4251e+00
3847.91	7.5787e+00	1.4229e+00
3848.68	1.0600e+01	1.4230e+00
3849.46	1.0497e+01	1.4291e+00
3850.23	1.2987e+01	1.4268e+00
3851.01	1.4203e+01	1.4352e+00
3851.78	1.0839e+01	1.4302e+00
3852.56	1.1026e+01	1.4146e+00
3853.33	9.1521e+00	1.4108e+00
3854.11	1.1820e+01	1.4040e+00
3854.88	1.2177e+01	1.4186e+00
3855.66	1.2355e+01	1.4118e+00
3856.43	1.2188e+01	1.4060e+00
3857.21	1.2371e+01	1.4107e+00
3857.98	8.7156e+00	1.3994e+00
3858.76	1.4012e+01	1.3891e+00
3859.53	1.0440e+01	1.3780e+00
3860.31	9.4232e+00	1.3793e+00
3861.08	9.0435e+00	1.3837e+00
3861.86	1.0674e+01	1.3804e+00
3862.63	1.0750e+01	1.3717e+00
3863.41	1.1906e+01	1.3706e+00
3864.18	1.2508e+01	1.3691e+00
3864.96	1.4222e+01	1.3541e+00
3865.73	8.8838e+00	1.3522e+00
3866.51	1.0445e+01	1.3589e+00
3867.28	1.0361e+01	1.3604e+00
3868.05	9.3735e+00	1.3469e+00
3868.83	9.9831e+00	1.3350e+00
3869.60	1.0563e+01	1.3438e+00
3870.38	8.3286e+00	1.3377e+00
3871.15	8.8624e+00	1.3399e+00
3871.93	9.2275e+00	1.3320e+00
3872.70	1.0518e+01	1.3371e+00
3873.48	5.6496e+00	1.3293e+00
3874.25	6.1676e+00	1.3214e+00
3875.03	1.0220e+01	1.3184e+00
3875.80	1.0063e+01	1.3220e+00
3876.58	9.5852e+00	1.3330e+00
3877.35	9.9387e+00	1.3314e+00
3878.13	8.7423e+00	1.3242e+00
3878.90	1.2931e+01	1.3198e+00
3879.68	7.9678e+00	1.3096e+00
3880.45	1.1907e+01	1.3110e+00
3881.23	1.0704e+01	1.3075e+00
3882.00	8.0576e+00	1.3064e+00
3882.78	1.0635e+01	1.3072e+00
3883.55	1.0505e+01	1.3055e+00
3884.33	9.6696e+00	1.2948e+00
3885.10	1.1661e+01	1.2901e+00
3885.88	1.1432e+01	1.3328e+00
3886.65	8.9669e+00	1.4074e+00
3887.43	1.0802e+01	1.3696e+00
3888.20	1.0490e+01	1.2808e+00
3888.98	1.0513e+01	1.2814e+00
3889.75	9.3105e+00	1.2823e+00
3890.53	9.3090e+00	1.2800e+00
3891.30	9.9117e+00	1.2743e+00
3892.08	9.9818e+00	1.2737e+00
3892.85	9.6188e+00	1.2739e+00
3893.62	9.1878e+00	1.2633e+00
3894.40	1.3643e+01	1.2512e+00
3895.17	9.0193e+00	1.2583e+00
3895.95	1.0197e+01	1.2538e+00
3896.72	9.3389e+00	1.2515e+00
3897.50	7.8824e+00	1.2461e+00
3898.27	7.6572e+00	1.2402e+00
3899.05	1.2633e+01	1.2390e+00
3899.82	9.6150e+00	1.2347e+00
3900.60	1.1962e+01	1.2464e+00
3901.37	8.7785e+00	1.2725e+00
3902.15	1.0337e+01	1.2242e+00
3902.92	1.0895e+01	1.2130e+00
3903.70	1.1364e+01	1.2169e+00
3904.47	1.1231e+01	1.2207e+00
3905.25	8.4892e+00	1.2164e+00
3906.02	1.2090e+01	1.2108e+00
3906.80	7.0999e+00	1.2035e+00
3907.57	8.6177e+00	1.2072e+00
3908.35	1.0796e+01	1.1992e+00
3909.12	9.6076e+00	1.2073e+00
3909.90	1.0480e+01	1.2057e+00
3910.67	1.0422e+01	1.1960e+00
3911.45	1.0985e+01	1.1923e+00
3912.22	8.4258e+00	1.1939e+00
3913.00	9.4267e+00	1.1880e+00
3913.77	1.1734e+01	1.1889e+00
3914.55	9.5681e+00	1.1818e+00
3915.32	6.7896e+00	1.1902e+00
3916.10	8.6250e+00	1.1897e+00
3916.87	1.5016e+01	1.1858e+00
3917.65	1.1611e+01	1.1850e+00
3918.42	8.1311e+00	1.1691e+00
3919.19	1.0002e+01	1.1644e+00
3919.97	1.1456e+01	1.1696e+00
3920.74	9.7169e+00	1.1755e+00
3921.52	9.5282e+00	1.1721e+00
3922.29	8.9411e+00	1.1751e+00
3923.07	1.0703e+01	1.1768e+00
3923.84	1.0249e+01	1.1649e+00
3924.62	1.1320e+01	1.1630e+00
3925.39	8.8392e+00	1.1608e+00
3926.17	9.2539e+00	1.1607e+00
3926.94	8.9837e+00	1.1605e+00
3927.72	6.0985e+00	1.1601e+00
3928.49	7.9221e+00	1.1578e+00
3929.27	8.5533e+00	1.1568e+00
3930.04	1.0066e+01	1.1573e+00
3930.82	1.0335e+01	1.1618e+00
3931.59	1.1060e+01	1.1487e+00
3932.37	1.2538e+01	1.1506e+00
3933.14	1.0900e+01	1.1400e+00
3933.92	8.6200e+00	1.1421e+00
3934.69	8.6447e+00	1.1423e+00
3935.47	1.1971e+01	1.1420e+00
3936.24	1.0922e+01	1.1422e+00
